Title | Year | RQ1_Datasets | RQ1_Image_Count | RQ1_Class_Balance | RQ2_Preprocessing | RQ2_Augmentation | RQ3_RQ4_Seg_Scope | RQ5_RQ6_Class_Scope | RQ7_Model_Architecture | RQ7_Novelty | RQ7_Transfer_Learning | RQ8_Metrics_Used | RQ8_Best_Result | RQ8_SOTA_Compare | RQ9_Limitations | RQ10_Future_Work
Skin lesion segmentation and classification: A unified framework of deep neural network features fusion and selection | 2019 | Public (ISBI 2016, ISIC 2017, PH2)  | 4,229 total (1,279 from ISBI 2016; 2,750 from ISIC 2017; 200 from PH2) | No; data imbalance is addressed using a data rotation approach to increase the number of samples | Local color-controlled contrast enhancement (LCCCE) based on a combination of HSV transformation and 2D-median filtering | Data rotation at four different angles (90°, 180°, 270°, and 45°) | Lesion Boundary (via a color CNN-based approach followed by XOR operation and morphological filtering) | Both; Binary (Melanoma vs. Benign) and Multi-class (Melanoma, Common Nevi, and Atypical Nevi) | Inception-v3 and ResNet-50 | Ensemble (Feature fusion using Canonical Correlation Analysis (CCA) and selection via entropy-controlled method) | Yes (Pre-trained on ImageNet) | Accuracy, Sensitivity, Specificity, Precision, F1-Measure, AUC | Accuracy: 98.4% (PH2), 95.1% (ISBI 2016), 94.8% (ISIC 2017) | Yes | Computational cost of training deep models; potential segmentation errors in images with very high artifact noise or similar skin/lesion color | Evaluation on more complex multi-class datasets (e.g., ISIC 2018/HAM10000) and exploring more efficient feature selection theorems  | 10
Skin lesion segmentation and recognition using multichannel saliency estimation and M-SVM on selected serially fused features | 2018 | Public (PH2, ISBI 2016, ISIC)  | 4,731 total (200 from PH2; 1,279 from ISBI 2016; 3,252 from ISIC)  | No; balanced sets used for evaluation (e.g., 50:50 training/testing split)  | Hair and ruler artifact removal (Dull Razor), contrast stretching, and resizing (to 256x256 pixels for PH2)  | None reported | Lesion Boundary (via multichannel saliency estimation, morphological operations, and weighting criteria)  | Both; Binary (Melanoma vs. Benign) and Multi-class (Melanoma, Common Nevi, and Atypical Nevi/Seborrheic Keratosis)  | Support Vector Machine (M-SVM)  | Ensemble (multichannel saliency for segmentation; fusion of HOG, color, and clinical features reduced via NCA)  | No  | Sensitivity, Specificity, Precision, Accuracy, FPR, FNR, NPV, and Execution Time  | Accuracy: 99.2% (ISBI 2016); 97.5% (PH2); 99.5% (ISIC-UDA)  | Yes  | Limited applicability to non-Caucasian skin tones if visual difference between lesion and background is low  | Implementing and testing deep convolutional neural network (CNN) architectures on ISBI 2017  | 10
Skin Lesion Segmentation in Dermoscopic Images with Combination of YOLO and GrabCut Algorithm | 2019 | Public (PH2 and ISBI 2017) | 2,200 total (200 from PH2; 2,000 from ISBI 2017) | No reported | Hair removal (DullRazor), resizing (to 416x416 pixels), and color space conversion (to RGB) | None reported | Lesion Boundary (via YOLO for localization followed by GrabCut for segmentation) | N/A | YOLO (You Only Look Once) | Ensemble (Hybrid pipeline combining YOLO localization and GrabCut segmentation) | No | Sensitivity, Specificity, Accuracy, and Jaccard Index | Sensitivity: 94% (PH2); Accuracy: 90% (ISBI 2017) | Yes | Difficulty in segmenting lesions with extremely blurry boundaries, high artifact noise (gel bubbles), or low contrast | Improving segmentation for multi-class dermatological disease diagnosis and testing on larger clinical datasets  | 10
The skin cancer classification using deep convolutional neural network | 2018 | Internet-collected RGB images (google.com, naver.com, baidu.com, bing.com)  | 3753  | No reported  | Cropping to reduce noise from other organs and tools  | None reported  | N/A | Multi-class (Actinic Keratoses, Basal cell carcinoma, Squamous cell carcinoma, and Melanoma)  | AlexNet  | Transfer Learning  | Yes (AlexNet pre-trained on ImageNet)  | Accuracy, Sensitivity, and Specificity  | Accuracy: 95.1% (Squamous cell carcinoma); Sensitivity: 98.9% (Actinic keratosis); Specificity: 94.17% (Squamous cell carcinoma)  | Yes  | Accuracy depends on image clarity, with some classes achieving better results due to clearer source material  | Extending classification based on ABCD rules and developing a smartphone application  | 8
Transformation-Consistent Self-Ensembling Model for Semisupervised Medical Image Segmentation | 2020 | Public (ISIC 2017)  | 2,000  | No reported  | Resizing (to 256x256 pixels) and normalization  | Random rotation and flipping  | Lesion Boundary  | N/A | U-Net  | New Architecture (Transformation-consistent self-ensembling model)  | No | Dice Coefficient, Jaccard Index  | Dice: 87.11%; Jaccard: 78.43% (with 300 labeled images)  | Yes  | Reliance on a large amount of unlabeled data for performance gains; sensitivity to transformation types  | Extending the transformation-consistent strategy to 3D medical image segmentation  | 10
TransFuse: Fusing Transformers and CNNs for Medical Image Segmentation | 2021 | Public (ISIC 2017, ISIC 2018) | 2,000 (ISIC 2017); 2,594 (ISIC 2018) | No reported | Resizing (to 512x512 pixels) and normalization | Random rotation and horizontal flipping | Lesion Boundary | N/A | TransFuse (Parallel Transformer and CNN branches with BiFusion module) | New Architecture | Yes (DeiT-S and ResNet-50 pre-trained on ImageNet) | Dice Score (dsc), Jaccard Index (jaccard) | dsc: 85.9% (ISIC 2017); dsc: 90.2% (ISIC 2018) | Yes | Potential computational overhead from parallel branches; primary focus on 2D/3D segmentation without multi-class disease labeling | Investigating more efficient global-local fusion mechanisms and expanding to larger scale clinical multi-modal data | 10
W-net and inception residual network for skin lesion segmentation and classification | 2021 | Public (PH2, ISIC 2016, ISIC 2017, ISIC 2018)  | 6,673 total (200 from PH2; 1,279 from ISIC 2016; 2,600 from ISIC 2017; 2,594 from ISIC 2018)  | No reported  | Gaussian filter (to minimize artifacts like fogs, hairs, and marks), binary thresholding, Canny algorithm, cropping, and resizing (to 180x180 pixels)  | None reported  | Lesion Boundary  | Both; Binary (Melanoma vs. others) and Multi-class (Melanoma, Keratosis, Benign; and various ISIC 2018 classes)  | W-net (ResNet and ConvNet Encoder-Decoder) for segmentation and Inception-ResNet for classification  | New Architecture  | No  | Accuracy, Sensitivity, Specificity, Dice similarity, Precision, and Recall  | Segmentation Accuracy: 97.94% (ISIC 2017); Classification Accuracy: 98.50% (PH2)  | Yes  | Computational cost of dual encoder-decoder architectures; reliance on image clarity for precise border extraction  | Combining more advanced deep architectures for accurate cancer classification and using the Inception Resnet block for segmentation tasks  | 10
A comprehensive review of deep learning for medical image segmentation | 2025 | ISIC 2016, ISIC 2017, ISIC 2018 | ISIC 2017: 2750, ISIC 2018: 3694 | N/A | N/A | N/A | Lesion Boundary | N/A | CNN (U-Net variants), Transformer (Swin-Unet, TransUNet), Mamba (VM-UNet), Hybrid | Review | Yes [ImageNet] | Dice, IoU, PA, HD95, ASD | VM-UNet: Dice 0.8971 (ISIC 2017) | Yes | Limited data, diverse modalities, noise (hair/bubbles), clinical applicability, legal/privacy issues | Zero-shot segmentation (SAM), transfer learning, multi-modal techniques | 10
A Hybrid Deep Learning Approach for Skin Lesion Segmentation With Dual Encoders and Channel-Wise Attention  | 2025  | ISIC 2016, ISIC 2017, ISIC 2018  | ISIC 2016: 1279, ISIC 2017: 2750, ISIC 2018: 2594  | N/A | Resize (256x256), Patching (16x16)  | None reported | Lesion Boundary  | N/A | Hybrid (ResNet-50 + ViT + SE Block + CNN Decoder)  | New Architecture  | Yes [Pre-trained ResNet50 & ViT-Base]  | ACC, IoU, Dice, SEN  | IoU: 89.53% (ISIC 2016)  | Yes  | High computational complexity (FLOPs), struggles with irregular/low-contrast boundaries  | Cross-validation, robustness to complex scenarios  | 9
A hybrid feature fusion deep learning framework for multi-source medical image analysis | 2025 | HAM10000 | 10015 | Balanced using ADASYN | Resizing (224x224), Normalization, Hair Removal (DullRazor) | Rotation, Flipping, Noise Injection | N/A | Multi-class (7 classes: AKIEC, BCC, BKL, DF, MEL, NV, VASC) | Hybrid (VGG19 + ResNet50 + DenseNet121 + Custom CNN) | Ensemble/Feature Fusion | Yes [ImageNet] | Accuracy, Precision, Recall, F1-Score | Accuracy: 98.45% | Yes | Computational cost of hybrid feature extraction | Integration with real-time clinical workflows, explainable AI (XAI) | 9
A skin lesion segmentation network with edge and body fusion  | 2025  | ISIC 2016, ISIC 2017, ISIC 2018, PH2  | ISIC 2016: 1279, ISIC 2017: 2750, ISIC 2018: 2594, PH2: 200  | N/A | Resize (256x256)  | Flip (Horizontal/Vertical), Random Rotation  | Lesion Boundary  | N/A | EBF-Net (ResNet-34 Encoder + Feature Selection Module + Body-Edge Fusion Module)  | New Architecture  | Yes [ImageNet]  | Dice, Jaccard, Accuracy, Sensitivity, Specificity  | ISIC 2017: Dice 0.9202  | Yes  | Edge detection branch can produce discontinuities in low-contrast or blurry boundary scenarios  | Develop more robust edge detection algorithms to improve continuity  | 10
An innovative deep learning framework for skin cancer detection employing ConvNeXtV2 and focal self-attention mechanisms  | 2025  | HAM10000  | 10015  | Balanced using Augmentation  | Resize (224x224) , Normalization , Hair Removal (DullRazor)  | Horizontal/Vertical Flip , Rotation (15-70 deg) , Zoom , Shear , Brightness , Contrast , Saturation  | N/A  | Multi-class (7 classes: MEL, NV, BCC, AKIEC, BKL, DF, VASC)  | ConvNeXtV2 + Focal Self-Attention  | New Architecture  | Yes [ImageNet]  | Accuracy , Precision , Recall , F1-Score  | Accuracy: 97.43%  | Yes  | Computationally intensive due to complex attention mechanisms, potential overfitting on small datasets  | Integrate with mobile health apps, explore lightweight versions, expand to other dermatological conditions  | 9
CSWin-UNet: Transformer UNet with cross-shaped windows for medical image segmentation  | 2025  | Synapse, ISIC 2018  | Synapse: 30 training/20 testing cases; ISIC 2018: 2594 images  | N/A | Resize (224x224), Intensity Clipping, Normalization  | Flip, Rotation  | Lesion Boundary  | Binary (Lesion vs Background), Multi-class (Organs)  | CSWin-UNet (CSWin Transformer + U-Net Decoder)  | New Architecture  | Yes [ImageNet]  | Dice, HD95, IoU, Accuracy, Sensitivity, Specificity  | ISIC 2018: Dice 91.56%  | Yes  | High computational complexity of standard Transformers (addressed by cross-shaped windows)  | Apply to broader medical segmentation tasks  | 9
DSU-Net: Dual-Stage U-Net based on CNN and Transformer for skin lesion segmentation  | 2025  | ISIC 2017, ISIC 2018  | ISIC 2017: 2150, ISIC 2018: 2594  | N/A | Resize (256x256), Normalization  | Horizontal Flip, Vertical Flip, Random Rotation (90 degrees)  | Lesion Boundary  | N/A | DSU-Net (Dual-Stage U-Net with ResNet-34 and Transformer blocks)  | New Architecture  | Yes [ImageNet]  | Dice, Jaccard, Accuracy, Sensitivity, Specificity, Hausdorff Distance  | ISIC 2017: Dice 92.54%  | Yes  | Requires significant computational resources due to dual-stage design  | Investigate lightweight variants for mobile deployment  | 9
Dual-scale enhanced and cross-generative consistency learning for semi-supervised medical image segmentation  | 2025  | ISIC 2018, ACDC  | ISIC 2018: 2594  | N/A (Semi-supervised splits used) | Resize (224x224), Normalization  | Random Rotation, Flip  | Lesion Boundary  | N/A | DEC-Seg (U-Net Backbone)  | New Architecture (Semi-supervised Framework)  | No  | DSC, Jaccard, ACC, SEN  | DSC: 89.26% (ISIC 2018, 20% labeled)  | Yes  | High computational cost due to multi-branch structure  | Design lightweight architectures, extend to 3D segmentation  | 9
EffiCAT: A synergistic approach to skin disease classification through multi-dataset fusion and attention mechanisms  | 2024  | ISIC 2019, ISIC 2020, Derm7pt (Merged)  | 58,457  | Balanced using Augmentation  | Resizing (224x224), Normalization, Hair Removal (DullRazor), Color Constancy (Shades of Gray)  | Rotation, Horizontal/Vertical Flip, Zooming  | N/A | Multi-class (8 classes: MEL, NV, BCC, AK, BKL, DF, VASC, SCC)  | EffiCAT (EfficientNetB0 + Coordinate Attention + Cross-Modality Attention)  | New Architecture  | Yes [ImageNet]  | Accuracy, Precision, Recall, F1-Score  | Accuracy: 98.45%  | Yes  | Model optimization required for low-latency mobile deployment  | Integration into mobile apps, XAI, testing on diverse datasets  | 10
Enhancing Melanoma Diagnostic: Harnessing the Synergy of AI and CNNs for Groundbreaking Advances in Early Melanoma Detection and Treatment Strategies | 2025 | HAM10000 | 10015 | Balanced using Data Augmentation (MCADT) | Grayscale conversion (as augmentation), Resizing (implied) | Random Horizontal Flip, Random Crop, Gaussian Blur, Random Perspective, Grayscale Conversion | N/A | Binary (Melanoma vs. Non-Melanoma), Multi-class (implied by MCADT name) | MCADT (Multi-Class Augmented Deep Transfer, Customized CNN) | New Architecture (MCADT) | Yes [ImageNet] | Accuracy, Sensitivity, Specificity, F1-Score | Accuracy: 93.43% (Melanoma detection) | Yes | Scarcity of annotated images, intricacy of cancer images, class imbalance | Test on more diverse skin cancer datasets, ablation studies for parameter optimization | 10
Enhancing the performance of CNN models for pneumonia and skin cancer detection using novel fractional activation function | 2025 | Small-ISIC2018, HAM10000 | Small-ISIC2018: 3297, HAM10000: 10015 | Small-ISIC2018: Balanced (Curated), HAM10000: No | Normalization (Pixel/255), Resizing (224x224) | Random Zoom, Horizontal/Vertical Shift, Random Rotation | N/A | Both | EfficientNet-B3 (with RLASFReLU) | New Activation Function (RLASFReLU) | Yes [EfficientNet-B3] | Accuracy, Precision, Recall, F1-Score, AUC | Accuracy: 98.77% (HAM10000) | Yes | Manual tuning of fractional order parameter ($\alpha$); Non-standard implementation (requires custom code) | Automate hyperparameter tuning, integrate with ViTs/GNNs, Explainable AI (XAI) | 9
Exploring adversarial deep learning for fusion in multi-color channel skin detection applications | 2025 | Created Systematic Dataset (17M patches), Pratheepan, HGR, ECU, COMPAQ | 17 million patches (from 400 source images) | Balanced (50 images per category) | Image cropping, Padding, Sliding window (3x3), Rescaling (1./255), Color space conversion (RGB, YCbCr, HSV, YUV) | Shear, Zoom, Horizontal Flip | N/A | Both | CNN, ANN, DNN, RNN, SAE | New Dataset, Color Space Fusion analysis | No | Accuracy, Loss, Time, Mean Error | ACC: 99.48% (Hybrid CNN-RNN on Created Dataset) | Yes | Computational constraints limited experiments; robustness of fusion against AML needs further confirmation | Investigate data poisoning (mislabeled patches), test against augmented data | 2
Facial thermal imaging: A systematic review with guidelines and measurement uncertainty estimation | 2025 | N/A (Review of 315 papers on thermal imaging protocols) | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | Lack of standardization in measurement protocols, variable environmental conditions, and undefined uncertainty budgets | Development of standardized guidelines and estimation of measurement uncertainty ($0.3^{\circ}C$ threshold) | 0
Generalizable and explainable deep learning for medical image computing: An overview | 2025 | HAM10000 | 10015 | No | Resize (224x224), Normalization (z-score) | None reported | N/A | Multi-class (7 classes: AKIEC, BCC, BKL, DF, MEL, NV, VASC) | ResNet50, DenseNet121, VGG16, EfficientNet-B0 | Standard (Evaluation of XAI methods) | No | Accuracy, Precision, Recall, F1-Score, Confidence Increase (ROAD), Execution Time | Accuracy: 86.79% (DenseNet121) | No | Limited dataset diversity (only 3 datasets); XAI methods (e.g., EigenGradCAM) perform poorly on complex cases; high computational cost for some XAI methods | Develop hybrid XAI techniques; improve visualization tools; extend to multimodal data and cross-domain applications | 8
Multimodal Biomedical Image Segmentation by Using Multi-Path U-Net  | 2025  | PH2, ISIC-2017  | 2200 (200 PH2 + 2000 ISIC-2017)  | No (PH2: 160 common, 40 melanoma)  | Zero padding  | Random Rotation, Horizontal Flip  | Lesion Boundary  | N/A | Multi-Path U-Net (with Multi-Level Blocks & Encoder-Decoder Path)  | New Architecture  | No | Accuracy, Jaccard Index, Precision, Recall, Dice  | PH2: Accuracy 96.0%, Jaccard 87.0%  | Yes  | Speed decreases when images exceed 2000; training time > 3 hours  | Incorporate transformers/attention modules, domain-specific pre/post-processing, combine with U-Net++  | 10
Pigmented skin disease classification via deep learning with an attention mechanism | 2025 | HAM10000 | 10015 | Balanced via Augmentation | Resize, Normalization | Random Rotation, Flip, Crop | N/A | Multi-class (7 classes: AKIEC, BCC, BKL, DF, MEL, NV, VASC) | CNN + Global Attention (GA) + Unified Module (UM) | New Architecture (Attention-based) | Yes [ImageNet] | Accuracy, AUC, Precision, Recall, F1-Score | AUC: 0.98 (Average) | Yes | Computationally intensive due to attention modules; reliance on single dataset | Validation on diverse datasets, deployment in mobile health applications | 9
SLP-Net: An efficient lightweight network for segmentation of skin lesions | 2025 | ISIC 2018, ISIC 2016, PH2 | ISIC 2018: 2594, ISIC 2016: 900, PH2: 200 | No | Resize (224x224) | Random Rotation, Flip | Lesion Boundary | N/A | SLP-Net (MCConvSNP + SLP + SFA + SDS) | New Architecture | No | Accuracy, Sensitivity, Specificity, Jaccard, Dice, FPS, GFLOPs | ISIC 2018: Acc 93.87%, DSC 88.21% | Yes | Generalization lags behind pre-trained models on small datasets; 8x upsampling causes edge info loss; over-aggressive edge segmentation | Explore SNP in attention mechanisms; Explore pre-training models | 10
Temporal integration of ResNet features with LSTM for enhanced skin lesion classification | 2025 | ISIC 2020, HAM10000 | ISIC 2020: >33,000, HAM10000: 10,015 | Imbalanced (Weighted loss functions and augmentation used) | Resizing (224x224), Normalization (pixel values 0-1) | Flipping, Affine Transform, Rotation (30 deg), Zoom, Linear Contrast, Gaussian Blurring | N/A | Binary (Benign vs. Malignant) | R-LSTM50 (ResNet50 + LSTM) | Hybrid Architecture (Spatial + Temporal integration) | Yes [ResNet50] | Accuracy, Sensitivity, Specificity, F1-Score | Accuracy: 95.72% (ISIC 2020) | Yes | Potential generalization challenges in extremely diverse clinical settings | Integrate Explainable AI (ExAID), comprehensive clinical validation, continuous learning mechanisms | 10
Unleashing the power of Manta Rays Foraging Optimizer: A novel approach for hyper-parameter optimization in skin cancer classification | 2025 | ISIC 2019, PH2, HAM10000 | 35,546 (ISIC 2019: 25,331; HAM10000: 10,015; PH2: 200) | Balanced via Augmentation (ISIC subset) | Resizing (32x32), BGR to RGB Conversion, Min-Max Scaling, Filtering | Rotation, Width/Height Shift, Shear, Zoom, Horizontal/Vertical Flip | N/A | Multi-class (8 classes [ISIC], 7 classes [HAM10000], 3 classes [PH2]) | VGG16 (Optimized by MRFO) | Hyperparameter Optimization using Manta Rays Foraging Optimizer (MRFO) | Yes [VGG16] | Accuracy, F1-Score, Precision, Recall, Loss, AUC | Accuracy: 99.96% (PH2) | Yes | Need for diverse clinical validation, cost-effectiveness analysis, and testing on varying image quality | Ensemble learning, Explainable AI (XAI), Scalability for clinical adoption | 10
YOLOSkin: A fusion framework for improved skin cancer diagnosis using YOLO detectors on Nvidia Jetson Nano | 2025 | ISIC 2020 | 2312 (Original), 4387 (Augmented) | Balanced via Augmentation | Resizing | Resizing (Multi-scale), Test-Time Augmentation (TTA) | N/A | Both | YOLO (v3tiny, v4tiny, v5s, v7tiny, v8s), Fusion SCDS | Fusion strategy (Confidence-based), Edge deployment (Jetson Nano) | No | Accuracy, Precision, Recall, F1-score, mAP@0.5, Inference Time | Accuracy: 96.1% (SCDS) | Yes | Misclassification due to color similarity, Inference time trade-off compared to single models | Clinical validation in hospital environments, integration into diagnostic workflows | 10
Advanced Deep Learning Models for Melanoma Diagnosis in Computer-Aided Skin Cancer Detection | 2025 | ISIC 2019, ISIC 2020 | ISIC 2019: 25,331; ISIC 2020: 33,126 | Balanced via Augmentation | Resize (224x224), Normalization | Rotation (40 degrees), Horizontal Flip | N/A | Binary (Melanoma vs. Benign), Multi-class (8 classes: MEL, NV, BCC, AK, BKL, DF, VASC, SCC) | DenseNet201, ResNet50V2, InceptionV3, VGG16, MobileNet | Standard (Comparative Analysis) | Yes [ImageNet] | Accuracy, Precision, Recall, F1-Score, AUC | Accuracy: 97.46% (DenseNet201 on ISIC 2020) | Yes | Computational complexity of deep models; class imbalance in real-world data | Develop hybrid models (e.g., combining CNNs with Transformers), integrate clinical metadata, optimization for mobile devices | 10
A Trustworthy Framework for Skin Cancer Detection Using a CNN with a Modified Attention Mechanism  | 2025  | HAM10000  | 10015  | Balanced via Augmentation  | Contrast Enhancement (CLAHE), Brightness Adjustment  | Rotation, Horizontal/Vertical Flip, Scaling, Translation  | N/A  | Multi-class (7 classes: Akiec, Bcc, Bkl, Df, Mel, Nv, Vasc)  | DCAN-Net (ConvNeXt + Channel/Spatial Attention)  | New Architecture  | Yes [Pre-trained ConvNeXt]  | Accuracy, Precision, Recall, F1-Score  | Accuracy: 97.57%  | Yes  | Unimodal data only, computational cost of attention mechanisms, challenges for real-time deployment  | Multimodal data fusion, real-time adaptation, clinical trials, expand dataset  | 10
Melanoma Skin Cancer Detection Using Deep Learning Methods and Binary GWO Algorithm | 2025 | ISIC 2019, ISIC 2020 | 2500 (1250 Benign, 1250 Malignant) | Balanced (Subsampled) | Resize (224x224), Normalization (Min-Max), Hair Removal (DullRazor), Noise Removal (Median Filter) | Rotation, Width/Height Shift, Shear, Zoom, Horizontal Flip | N/A | Binary (Benign vs. Malignant) | ResNet50, VGG16, MobileNetV2, InceptionV3, DenseNet121, Xception (Feature Extractors) + Binary GWO (Feature Selection) + SVM | Hybrid (DL Features + Metaheuristic Optimization) | Yes [ImageNet] | Accuracy, Precision, Recall, F1-Score | Accuracy: 99.42% (ResNet50 + BGWO + SVM) | Yes | High computational complexity, dependence on large annotated datasets, potential for overfitting | Explore other meta-heuristic optimization algorithms, validate on larger diverse datasets, real-time implementation | 10
Next-generation approach to skin disorder prediction employing hybrid deep transfer learning | 2025 | Skin Diseases Dataset (Kaggle) | 19,171 | Balanced via Augmentation | Resize (128x128), Normalization (0-1), Color Adjustment | Rotation (30 deg), Zoom (20%), Shift (10-20%), Horizontal Flip | N/A | Multi-class (19 classes: Acne, Actinic Carcinoma, Atopic Dermatitis, Cellulitis, Eczema, Drug Eruptions, Herpes HPV, Light Diseases, Lupus, Melanoma, Poison Ivy, Psoriasis, Benign Tumors, Systemic Disease, Ringworm, Urticarial Hives, Vascular Tumors, Vasculitis, Viral Infections) | HDTLM (DenseNet121 + EfficientNetB0 Hybrid) | Hybrid Architecture | Yes [ImageNet] | Accuracy, Precision, Recall, F1-Score | Accuracy: 98.18% | Yes | Dataset lacks variety for rare conditions; robustness to lighting/backgrounds not analyzed; computational requirements restrict low-resource use | Extend dataset; validate on external datasets; clinical implementation; add explainability (XAI) | 10
Improved CNN architecture for automated classification of skin diseases  | 2025  | Dermnet (Kaggle)  | 547 (300 used)  | Balanced (Subsampled 100/class)  | Cropping  | Rotation, Scaling, Translation  | N/A  | Multi-class (Rosacea, Atopic Dermatitis, Bullous Disease)  | DarkNet-53, ResNet-18, SqueezeNet, EfficientNet-b0 (and modified versions)  | Modified Architecture (Added FC layers)  | Yes [DarkNet-53, ResNet-18, SqueezeNet, EfficientNet-b0]  | Accuracy, Precision, Recall, Specificity, F1-Score, MCC  | Accuracy: 98% (DarkNet-53-4FC3)  | Yes  | Limited dataset size and variety (only 3 classes); did not use contrast enhancement  | Ensemble techniques, contrast enhancement, extend to more diseases, develop new backbone models  | 8
On-patient medical record and mRNA therapeutics using intradermal microneedles | 2025 | N/A (Biomedical Engineering/Materials Science study) | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
A Mutual Bootstrapping Model for Automated Skin Lesion Segmentation and Classification  | 2020  | ISIC-2017, PH2, ISIC Archive  | ISIC-2017: 2750, PH2: 200, ISIC Archive: >21,000  | Imbalanced (Addressed via Hybrid Loss: Dice + Rank)  | Resizing (224x224), Whitening, Cropping  | Random Rotation, Zoom, Horizontal/Vertical Flips  | Lesion Boundary  | Multi-class (Melanoma, Nevus, Seborrheic Keratosis)  | MB-DCNN (Coarse-SN: Deeplabv3+, Mask-CN: Xception, Enhanced-SN)  | New Architecture (Mutual Bootstrapping Framework)  | Yes [ImageNet, MS-COCO, PASCAL VOC]  | Jaccard, Dice, Accuracy, Sensitivity, Specificity, AUC  | ISIC-2017: JA 80.4%, Avg AUC 93.8%; PH2: JA 89.4%, AUC 97.7%  | Yes  | Training is time-consuming (approx. 48 hours)  | Develop end-to-end learning framework, automated hyperparameter optimization, apply to other medical imaging tasks  | 10
Beyond Self-Attention: Deformable Large Kernel Attention for Medical Image Segmentation  | 2024  | ISIC 2017, ISIC 2018, PH2, Synapse, NIH Pancreas  | ISIC 2017: 2750; PH2: 200; Synapse: 3779 slices; NIH Pancreas: 82 volumes  | N/A  | Patching (3D: 128x128x64), Resizing (implied 2D)  | Standard Augmentation (Rotation, Flip - consistent with TransUNet/nnFormer)  | Lesion Boundary  | N/A  | D-LKA Net (MaxViT Encoder + Deformable LKA)  | New Architecture (Deformable Large Kernel Attention)  | Yes [MaxViT Encoder]  | DSC, SE, SP, ACC, HD95, Jaccard  | ISIC 2017: DSC 93.27%  | Yes  | Extension to 3D increases channel count substantially (mitigated by design); deformation adds parameters/FLOPs  | None explicitly stated (Conclusion summarizes contributions)  | 10
CPFNet: Context Pyramid Fusion Network for Medical Image Segmentation  | 2020  | ISIC 2018 (comprising ISIC 2017 and HAM10000)  | 2594  | Imbalanced (Addressed via Joint Loss: Dice + Cross-Entropy)  | Resize (256x192)  | Random left-right flipping  | Lesion Boundary  | N/A (Segmentation only)  | CPFNet (ResNet34 Encoder + GPG + SAPF)  | New Architecture  | Yes [Pre-trained ResNet34]  | Jaccard index (Jac), Dice coefficient (Dice), Accuracy (Acc)  | Jaccard: 82.86% (ISIC 2018)  | Yes  | Insufficient context extraction in single-stage U-shape networks; lack of post-processing  | Further post-processing; extension to other medical image segmentation tasks  | 10
DiffMIC-v2: Medical Image Classification via Improved Diffusion Network | 2025 | HAM10000, PMG2000, APTOS2019, ChestX-ray14 | HAM10000: 10,015 | Imbalanced | Center-crop, Resize (224x224) | Random flipping, Rotation | N/A | Multi-class (7 classes for HAM10000) | DiffMIC-v2 (Denoising U-Net + EfficientSAM + CNN Encoder) | New Architecture (Diffusion-based) | Yes [EfficientSAM, ResNet/DenseNet] | Accuracy, F1-score, AUROC | Accuracy: 90.9% (HAM10000) | Yes | Reliance on unimodal image data; Diffusion models inherently require iterative sampling (slower than standard CNNs) | Integrate clinical textual data as additional conditions; Enhance model controllability | 10
G-CASCADE: Efficient Cascaded Graph Convolutional Decoding for 2D Medical Image Segmentation  | 2024  | ISIC2018, Synapse Multi-organ, ACDC, Polyp, Retinal vessels  | Not reported (Referenced Supplementary)  | Not reported | Resize (384x384)  | None reported for ISIC (Random rotation/flipping for Synapse/ACDC)  | Lesion Boundary  | N/A | G-CASCADE (with PVTv2 or MERIT encoders)  | New Decoder Architecture (Graph Convolutional Attention)  | Yes [ImageNet]  | DICE, mIoU  | Results in Supplementary  | Yes  | None reported for proposed method  | Apply to other medical/semantic segmentation tasks  | 7
Label-Free Medical Image Quality Evaluation by Semantics-Aware Contrastive Learning in IoMT | 2025 | SkinQ (Synthetic from ISIC 2018), EyeQ, LiverQ | SkinQ: 6,015 (2,005 Good, 4,010 Reject) | Imbalanced (Reject > Good) | Partitioning into patches, PCA on patches | None (Zero-shot / Label-free method) | N/A | Binary (Good vs. Reject [Blur/Dark]) | SCL (ResNet-50 backbone via CLIP + NSS + Frequency Features) | Zero-shot Learning / Novel Architecture | Yes [CLIP] | Accuracy, Precision, Recall, Specificity, F1-Score | SkinQ: Accuracy 83.16%, F1 87.12% | Yes | Sensitivity to prompt definitions (ambiguity of synonyms); zero-shot model struggles with partial quality defects (e.g., uneven illumination) | Enhance robustness for various medical image types; investigate contribution of various components | 7
MALUNet: A Multi-Attention and Light-weight UNet for Skin Lesion Segmentation  | 2022  | ISIC2017, ISIC2018  | 4844 (ISIC2017: 2150, ISIC2018: 2694)  | No  | Normalization, Resizing (256x256)  | Vertical Flip, Horizontal Flip, Random Rotation  | Lesion Boundary  | N/A  | MALUNet (U-shape with DGA, IEA, CAB, SAB)  | New Architecture  | No | mIoU, DSC, Accuracy, Sensitivity, Specificity, Params, GFLOPs  | ISIC2018: mIoU 80.25%, DSC 89.04%  | Yes  | Proposed only for skin lesion segmentation  | Improve performance via pruning/NAS, apply to other diseases  | 10
